start_time,end_time,root_cause,affected,category
2023-01-12 15:11:45,2023-01-12 15:20:05,bso3,['cfo1'],12
2023-01-12 16:27:46,2023-01-12 17:51:06,bso3,['cfo1'],1
2023-01-12 18:19:35,2023-01-12 18:36:15,bfo2,['cso1'],8
2023-01-12 20:46:32,2023-01-12 20:51:32,bed2,['ced1'],7
2023-01-13 05:57:10,2023-01-13 06:02:10,bfo1,['cfo1'],9
2023-01-13 10:33:15,2023-01-13 10:44:55,bso1,['cfo1'],4
2023-01-13 17:15:06,2023-01-13 17:20:06,bfo2,['cso1'],3
2023-01-13 23:08:25,2023-01-13 23:15:05,bfo1,['cfo1'],8
2023-01-14 01:14:42,2023-01-14 01:26:22,bso2,['cso1'],5
2023-01-14 13:47:24,2023-01-14 13:55:44,bed2,['ced1'],11
2023-01-14 14:10:27,2023-01-14 14:15:27,bso1,['cfo1'],8
2023-01-14 18:13:13,2023-01-14 18:24:53,bfo2,['cso1'],10
2023-01-14 21:14:17,2023-01-14 21:30:57,bso2,['cso1'],2
2023-01-14 22:26:44,2023-01-14 22:31:44,bfo2,['cso1'],2
2023-01-14 23:35:17,2023-01-14 23:40:17,bso1,['cfo1'],2
2023-01-15 01:04:48,2023-01-15 01:13:08,bed1,['ced1'],4
2023-01-15 01:56:53,2023-01-15 02:08:33,bso3,['cfo1'],4
2023-01-15 03:16:14,2023-01-15 04:39:34,bfo1,['cfo1'],1
2023-01-15 09:57:07,2023-01-15 10:05:27,bed1,['ced1'],9
2023-01-15 13:00:13,2023-01-15 13:05:13,bfo2,['cso1'],13
2023-01-16 03:27:39,2023-01-16 03:32:39,bed2,['ced1'],13
2023-01-16 08:54:59,2023-01-16 09:03:19,bso3,['cfo1'],9
2023-01-16 21:16:19,2023-01-16 21:22:59,bfo2,['cso1'],3
2023-01-17 01:05:07,2023-01-17 02:28:27,bed1,['ced1'],12
2023-01-17 03:42:44,2023-01-17 03:47:44,bed2,['ced1'],7
2023-01-17 06:53:50,2023-01-17 06:58:50,bed2,['ced1'],3
2023-01-17 10:35:15,2023-01-17 10:46:55,bed1,['ced1'],13
2023-01-17 12:27:30,2023-01-17 12:34:10,bfo2,['cso1'],3
2023-01-17 14:38:04,2023-01-17 14:46:24,bed2,['ced1'],10
2023-01-17 17:12:55,2023-01-17 17:17:55,bed1,['ced1'],12
2023-01-17 19:56:12,2023-01-17 20:07:52,bso2,['cso1'],5
2023-01-17 20:09:06,2023-01-17 20:20:46,bso3,['cfo1'],8
2023-01-18 03:34:20,2023-01-18 03:46:00,bso1,['cfo1'],4
2023-01-18 21:53:05,2023-01-18 21:58:05,bso2,['cso1'],13
2023-01-19 03:12:52,2023-01-19 03:19:32,bed2,['ced1'],8
2023-01-19 05:40:39,2023-01-19 05:45:39,bso1,['cfo1'],2
2023-01-19 17:44:54,2023-01-19 17:53:14,bso2,['cso1'],10
2023-01-20 16:44:57,2023-01-20 16:49:57,bso3,['cfo1'],9
2023-01-20 17:02:19,2023-01-20 17:08:59,bfo1,['cfo1'],3
2023-01-20 17:39:39,2023-01-20 17:51:19,bso3,['cfo1'],9
2023-01-20 21:13:23,2023-01-20 21:30:03,bfo1,['cfo1'],8
2023-01-20 22:27:43,2023-01-20 22:36:03,bed2,['ced1'],3
2023-01-21 00:03:36,2023-01-21 00:15:16,bso2,['cso1'],3
2023-01-21 06:56:49,2023-01-21 07:03:29,bso1,['cfo1'],8
2023-01-21 12:45:18,2023-01-21 12:51:58,bed1,['ced1'],10
2023-01-21 17:36:42,2023-01-21 17:48:22,bed1,['ced1'],5
2023-01-21 23:29:51,2023-01-21 23:38:11,bed2,['ced1'],6
2023-01-22 08:34:40,2023-01-22 09:58:00,bfo1,['cfo1'],11
2023-01-22 14:37:34,2023-01-22 14:44:14,bed1,['ced1'],12
2023-01-23 15:02:17,2023-01-23 16:25:37,bso3,['cfo1'],6
2023-01-23 23:10:55,2023-01-23 23:17:35,bfo2,['cso1'],8
2023-01-24 00:11:52,2023-01-24 00:28:32,bed2,['ced1'],2
2023-01-24 01:17:51,2023-01-24 01:26:11,bso3,['cfo1'],8
2023-01-24 03:26:48,2023-01-24 04:50:08,bfo2,['cso1'],8
2023-01-24 06:31:32,2023-01-24 06:48:12,bed1,['ced1'],6
2023-01-24 11:37:08,2023-01-24 11:45:28,bfo2,['cso1'],10
2023-01-24 11:50:21,2023-01-24 12:07:01,bed1,['ced1'],4
2023-01-24 16:51:36,2023-01-24 16:58:16,bfo1,['cfo1'],4
2023-01-25 08:44:04,2023-01-25 08:52:24,bso1,['cfo1'],6
2023-01-25 14:34:05,2023-01-25 14:39:05,bfo2,['cso1'],13
2023-01-25 19:02:03,2023-01-25 19:10:23,bed1,['ced1'],6
2023-01-25 21:10:56,2023-01-25 21:27:36,bso1,['cfo1'],8
2023-01-26 02:42:10,2023-01-26 02:48:50,bfo1,['cfo1'],12
2023-01-26 04:19:02,2023-01-26 04:35:42,bso1,['cfo1'],7
2023-01-26 13:01:56,2023-01-26 13:08:36,bed1,['ced1'],2
2023-01-26 17:29:53,2023-01-26 17:41:33,bso1,['cfo1'],7
2023-01-26 21:46:27,2023-01-26 21:58:07,bso2,['cso1'],4
2023-01-27 09:38:01,2023-01-27 09:43:01,bso1,['cfo1'],13
2023-01-27 11:20:40,2023-01-27 11:27:20,bso2,['cso1'],8
2023-01-27 16:15:59,2023-01-27 16:49:19,bso2,['cso1'],5
2023-01-27 18:50:01,2023-01-27 18:55:01,bso2,['cso1'],9
2023-01-27 22:00:17,2023-01-27 22:08:37,bed2,['ced1'],5
2023-01-28 02:39:21,2023-01-28 04:02:41,bso2,['cso1'],7
2023-01-28 06:37:49,2023-01-28 06:44:29,bfo1,['cfo1'],3
2023-01-28 14:16:38,2023-01-28 14:28:18,bso2,['cso1'],8
2023-01-28 15:10:38,2023-01-28 15:15:38,bso3,['cfo1'],7
2023-01-28 20:30:26,2023-01-28 20:47:06,bfo1,['cfo1'],7
2023-01-29 05:40:47,2023-01-29 05:45:47,bfo2,['cso1'],12
2023-01-29 06:20:29,2023-01-29 06:32:09,bfo1,['cfo1'],12
2023-01-29 12:40:27,2023-01-29 12:45:27,bed1,['ced1'],5
2023-01-29 13:15:23,2023-01-29 13:27:03,bso2,['cso1'],2
2023-01-29 14:08:13,2023-01-29 14:19:53,bed2,['ced1'],12
2023-01-29 15:55:32,2023-01-29 16:02:12,bfo2,['cso1'],10
2023-01-29 23:45:43,2023-01-29 23:57:23,bed2,['ced1'],8
2023-01-30 03:20:25,2023-01-30 03:32:05,bed2,['ced1'],12
2023-01-30 20:20:28,2023-01-30 20:28:48,bed2,['ced1'],8
2023-01-31 01:01:08,2023-01-31 02:24:28,bfo1,['cfo1'],2
2023-01-31 03:42:44,2023-01-31 03:51:04,bso1,['cfo1'],7
2023-01-31 06:49:44,2023-01-31 08:13:04,bso1,['cfo1'],7
2023-02-01 00:40:04,2023-02-01 02:03:24,bed2,['ced1'],12
2023-02-01 09:46:23,2023-02-01 10:19:43,bfo2,['cso1'],4
2023-02-01 14:58:41,2023-02-01 15:03:41,bed1,['ced1'],13
2023-02-01 22:08:32,2023-02-01 22:41:52,bed2,['ced1'],6
2023-02-02 00:09:25,2023-02-02 00:16:05,bso2,['cso1'],7
2023-02-02 06:20:15,2023-02-02 06:28:35,bso2,['cso1'],4
2023-02-02 08:02:13,2023-02-02 08:10:33,bed1,['ced1'],6
2023-02-03 04:43:13,2023-02-03 04:49:53,bed2,['ced1'],9
2023-02-03 07:54:10,2023-02-03 08:02:30,bso3,['cfo1'],7
2023-02-03 15:55:10,2023-02-03 16:11:50,bso3,['cfo1'],4
2023-02-04 02:18:26,2023-02-04 02:26:46,bfo1,['cfo1'],9
2023-02-04 10:06:57,2023-02-04 10:40:17,bfo2,['cso1'],1
2023-02-04 15:06:13,2023-02-04 15:39:33,bso2,['cso1'],8
2023-02-05 00:05:28,2023-02-05 00:13:48,bfo2,['cso1'],6
2023-02-05 15:44:58,2023-02-05 15:56:38,bso1,['cfo1'],4
2023-02-06 00:15:17,2023-02-06 01:38:37,bfo1,['cfo1'],8
2023-02-06 04:14:52,2023-02-06 04:48:12,bed2,['ced1'],10
2023-02-06 07:56:47,2023-02-06 08:01:47,bed2,['ced1'],1
2023-02-06 08:26:31,2023-02-06 08:34:51,bfo1,['cfo1'],7
2023-02-06 11:23:49,2023-02-06 11:28:49,bso1,['cfo1'],7
2023-02-07 01:57:42,2023-02-07 02:04:22,bed2,['ced1'],9
2023-02-07 03:01:29,2023-02-07 03:08:09,bfo1,['cfo1'],12
2023-02-07 03:11:55,2023-02-07 03:20:15,bed1,['ced1'],6
2023-02-07 05:59:16,2023-02-07 06:32:36,bso1,['cfo1'],8
2023-02-07 18:28:52,2023-02-07 18:33:52,bso1,['cfo1'],4
2023-02-07 21:21:13,2023-02-07 21:26:13,bso2,['cso1'],12
2023-02-08 13:45:13,2023-02-08 14:18:33,bed2,['ced1'],11
2023-02-09 00:56:33,2023-02-09 01:08:13,bfo2,['cso1'],4
2023-02-09 05:04:22,2023-02-09 05:09:22,bso1,['cfo1'],1
2023-02-09 05:47:37,2023-02-09 05:59:17,bed1,['ced1'],8
2023-02-09 07:32:05,2023-02-09 07:40:25,bso3,['cfo1'],12
2023-02-09 13:04:48,2023-02-09 13:11:28,bed2,['ced1'],9
2023-02-09 19:48:28,2023-02-09 20:00:08,bed2,['ced1'],11
2023-02-09 22:47:58,2023-02-09 22:56:18,bso3,['cfo1'],11
2023-02-10 04:17:12,2023-02-10 04:25:32,bfo2,['cso1'],13
2023-02-10 13:16:58,2023-02-10 13:33:38,bfo1,['cfo1'],8
2023-02-10 16:52:02,2023-02-10 17:00:22,bed1,['ced1'],2
2023-02-11 05:58:03,2023-02-11 06:06:23,bfo2,['cso1'],8
2023-02-11 07:42:56,2023-02-11 07:51:16,bso3,['cfo1'],5
2023-02-12 08:43:52,2023-02-12 08:52:12,bso2,['cso1'],9
2023-02-12 18:59:57,2023-02-12 19:04:57,bfo1,['cfo1'],1
2023-02-12 22:53:37,2023-02-12 22:58:37,bfo2,['cso1'],8
2023-02-13 00:22:20,2023-02-13 00:34:00,bso1,['cfo1'],9
2023-02-13 04:56:20,2023-02-13 05:13:00,bed1,['ced1'],5
2023-02-13 13:00:28,2023-02-13 13:12:08,bed1,['ced1'],5
2023-02-13 17:04:39,2023-02-13 17:12:59,bso3,['cfo1'],7
2023-02-14 07:26:47,2023-02-14 08:50:07,bso2,['cso1'],8
2023-02-14 18:48:24,2023-02-14 19:05:04,bed2,['ced1'],5
2023-02-14 20:52:02,2023-02-14 20:57:02,bed2,['ced1'],7
2023-02-14 21:25:33,2023-02-14 22:48:53,bfo2,['cso1'],3
2023-02-15 04:39:58,2023-02-15 04:51:38,bfo1,['cfo1'],3
2023-02-15 05:38:28,2023-02-15 05:45:08,bed2,['ced1'],13
2023-02-15 07:02:19,2023-02-15 07:07:19,bso2,['cso1'],12
2023-02-15 17:04:27,2023-02-15 17:37:47,bfo2,['cso1'],9
2023-02-15 20:52:37,2023-02-15 21:04:17,bfo1,['cfo1'],2
2023-02-16 00:40:31,2023-02-16 00:47:11,bso2,['cso1'],11
2023-02-16 00:55:27,2023-02-16 01:28:47,bed2,['ced1'],12
2023-02-16 05:29:34,2023-02-16 05:36:14,bso3,['cfo1'],12
2023-02-16 13:00:12,2023-02-16 13:33:32,bed2,['ced1'],3
2023-02-16 20:20:14,2023-02-16 20:31:54,bed1,['ced1'],9
2023-02-16 20:59:08,2023-02-16 21:05:48,bfo2,['cso1'],9
2023-02-16 23:37:26,2023-02-16 23:54:06,bso1,['cfo1'],5
2023-02-17 04:03:22,2023-02-17 04:10:02,bso3,['cfo1'],6
2023-02-17 08:16:51,2023-02-17 08:21:51,bso1,['cfo1'],2
2023-02-17 14:25:34,2023-02-17 14:37:14,bso2,['cso1'],10
2023-02-17 16:07:51,2023-02-17 16:19:31,bso2,['cso1'],9
2023-02-17 18:23:24,2023-02-17 18:40:04,bso3,['cfo1'],8
2023-02-17 19:54:16,2023-02-17 20:02:36,bfo2,['cso1'],8
2023-02-17 21:41:09,2023-02-17 21:57:49,bso1,['cfo1'],3
2023-02-18 02:51:57,2023-02-18 02:58:37,bfo2,['cso1'],12
2023-02-18 12:16:51,2023-02-18 12:28:31,bso3,['cfo1'],7
2023-02-18 16:37:26,2023-02-18 16:42:26,bed2,['ced1'],13
2023-02-18 17:53:52,2023-02-18 18:00:32,bso2,['cso1'],9
2023-02-19 06:58:42,2023-02-19 07:03:42,bfo1,['cfo1'],3
2023-02-19 15:24:45,2023-02-19 15:29:45,bed1,['ced1'],8
2023-02-19 16:09:43,2023-02-19 16:18:03,bed2,['ced1'],8
2023-02-19 23:24:52,2023-02-19 23:41:32,bfo1,['cfo1'],3
2023-02-20 00:31:08,2023-02-20 00:36:08,bso2,['cso1'],7
2023-02-20 00:44:25,2023-02-20 00:56:05,bed1,['ced1'],9
2023-02-20 01:58:22,2023-02-20 03:21:42,bso2,['cso1'],1
2023-02-20 04:14:26,2023-02-20 04:21:06,bso2,['cso1'],12
2023-02-20 15:47:05,2023-02-20 15:52:05,bso2,['cso1'],6
2023-02-20 17:12:59,2023-02-20 17:24:39,bso2,['cso1'],7
2023-02-20 22:54:11,2023-02-20 23:02:31,bed1,['ced1'],12
2023-02-21 11:13:47,2023-02-21 11:22:07,bso3,['cfo1'],3
2023-02-21 13:41:05,2023-02-21 13:47:45,bfo1,['cfo1'],10
2023-02-21 14:28:16,2023-02-21 14:36:36,bso3,['cfo1'],13
2023-02-21 23:40:58,2023-02-21 23:49:18,bfo2,['cso1'],5
2023-02-22 08:54:42,2023-02-22 09:01:22,bso3,['cfo1'],8
2023-02-22 14:19:11,2023-02-22 14:30:51,bed2,['ced1'],4
2023-02-22 18:45:34,2023-02-22 18:57:14,bfo2,['cso1'],1
2023-02-22 23:56:01,2023-02-23 00:01:01,bso2,['cso1'],10
2023-02-23 00:05:59,2023-02-23 00:12:39,bso2,['cso1'],6
2023-02-23 03:15:24,2023-02-23 03:23:44,bed2,['ced1'],2
2023-02-23 04:22:25,2023-02-23 04:39:05,bfo2,['cso1'],3
2023-02-23 06:02:34,2023-02-23 06:09:14,bed2,['ced1'],7
2023-02-23 22:31:08,2023-02-23 22:39:28,bso2,['cso1'],1
2023-02-24 06:55:54,2023-02-24 07:02:34,bfo2,['cso1'],3
2023-02-24 08:02:23,2023-02-24 08:09:03,bed2,['ced1'],3
2023-02-24 17:58:32,2023-02-24 18:15:12,bed1,['ced1'],3
2023-02-24 18:31:49,2023-02-24 18:43:29,bso1,['cfo1'],3
2023-02-24 21:23:10,2023-02-24 21:28:10,bed1,['ced1'],3
2023-02-25 14:57:06,2023-02-25 15:13:46,bfo2,['cso1'],2
2023-02-26 03:35:53,2023-02-26 03:42:33,bso1,['cfo1'],7
2023-02-26 03:43:31,2023-02-26 05:06:51,bso3,['cfo1'],4
2023-02-26 08:36:18,2023-02-26 08:41:18,bso3,['cfo1'],5
2023-02-26 13:09:29,2023-02-26 13:16:09,bfo2,['cso1'],12
2023-02-26 14:39:24,2023-02-26 14:44:24,bed2,['ced1'],3
2023-02-26 21:44:28,2023-02-26 21:49:28,bfo2,['cso1'],1
2023-02-27 13:05:24,2023-02-27 13:22:04,bfo1,['cfo1'],1
2023-02-27 15:50:54,2023-02-27 16:02:34,bfo2,['cso1'],13
